Offset(P)            #Ptr   #Hnd Access Name
0x0000000008631df0      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x0000000008748b58      8      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\cga80woa.fon
0x0000000008749648      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\conhost.exe.mui
0x0000000008749760      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\netcfgx.dll
0x0000000008749930      8      0 R--r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Fax and Scan.lnk
0x000000000874b738      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5
0x000000000874b7f0      8      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\cga40woa.fon
0x000000000874bb58      8      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\ega40woa.fon
0x00000000089a8c70     11      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-NetworkProfile%4Operational.evtx
0x00000000089bcbf0      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wbem\WMIADAP.exe
0x00000000089bcec8      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\webservices.dll
0x00000000089bcf80      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x0000000008be7178      2      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dimsjob.dll
0x0000000008df0f80      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\dot3api.dll
0x0000000008f37d98      7      1 RWDrwd \Device\HarddiskVolume1\Users\JOHNDO~1\AppData\Local\Temp\~DFA63F59B0C681C479.TMP
0x00000000091bc1e8     10      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010006.ci
0x0000000009266ed8      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\KernelBase.dll.mui
0x0000000009828938      1      1 RW-rwd \Device\HarddiskVolume1\Users\John Doe\AppData\Roaming\LibreOffice\3\user\uno_packages\cache\uno_packages.db
0x00000000098289f0      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\en-US\wmploc.DLL.mui
0x0000000009a25980     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-NCSI%4Operational.evtx
0x0000000009a25a38     11      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Firewall With Advanced Security%4Firewall.evtx
0x0000000009a7d6a8      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\wups2.dll
0x0000000009a7da10      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\aepic.dll
0x0000000009a7dac8      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\TPVMW32.dll
0x0000000009df6df0      6      0 R--r-d \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\program\python-core-2.6.1\lib\_socket.pyd
0x000000000a47f4b8      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\npmproxy.dll
0x000000000aec2178      2      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dimsjob.dll
0x000000000b4e60f8      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\fundisc.dll
0x000000000b4e61d8      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\EAPQEC.DLL
0x000000000b4e6860      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mfc42u.dll
0x000000000b4e6d10      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000000b8b6cd0      2      1 R--rwd \Device\HarddiskVolume1\Users\John Doe\AppData\Roaming\Microsoft\Credentials
0x000000000bb2f600      1      1 R--rw- \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\program\types\oovbaapi.rdb
0x000000000bc38f80      2      1 ------ \Device\Afd\Endpoint
0x000000000bdf83a8      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\SensorsCpl.dll
0x000000000bebc320      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\comres.dll
0x000000000bebc710      2      1 ------ \Device\Afd\Endpoint
0x000000000bebc970      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-230-0
0x000000000c0f2038      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\perftrack.dll
0x000000000c1053a8      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\SensorsCpl.dll
0x000000000c30c738      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5
0x000000000c30c7f0      8      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\cga40woa.fon
0x000000000c30cb58      8      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\ega40woa.fon
0x000000000c5fb6b8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mstsc.exe
0x000000000c5fbab8      2      1 R--rwd \Device\HarddiskVolume1\Users\John Doe\AppData\Roaming\Microsoft\Windows\Network Shortcuts
0x000000000c6be038      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\clb.dll
0x000000000c93c038      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\QAGENTRT.DLL
0x000000000c93c748      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mspaint.exe
0x000000000c9b78f8      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\KMSVC.DLL
0x000000000c9b7ba0      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mssph.dll
0x000000000d50c038      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\clb.dll
0x000000000d5d4980     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-NCSI%4Operational.evtx
0x000000000d5d4a38     11      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Firewall With Advanced Security%4Firewall.evtx
0x000000000e1a66c0      4      0 R--r-d \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\program\uuilo.dll
0x000000000e5f3130      3      0 R--rwd \Device\HarddiskVolume1\Windows\System32\wmploc.DLL
